epoch,step,train_loss,val_loss
0,9,226.3666229248047,
0,19,180.61000061035156,
0,29,162.53465270996094,
0,39,147.75608825683594,
0,49,148.2689666748047,
0,59,142.9584197998047,
0,65,,144.28211975097656
1,69,147.68087768554688,
1,79,140.81394958496094,
1,89,143.6970977783203,
1,99,144.74302673339844,
1,109,143.6501922607422,
1,119,142.74456787109375,
1,129,140.96066284179688,
1,131,,140.9616241455078
2,139,137.3954620361328,
2,149,134.53228759765625,
2,159,137.8950653076172,
2,169,141.50869750976562,
2,179,137.7833251953125,
2,189,132.92724609375,
2,197,,136.68093872070312
3,199,134.28094482421875,
3,209,133.32177734375,
3,219,138.3447723388672,
3,229,136.04144287109375,
3,239,135.09011840820312,
3,249,134.6930694580078,
3,259,135.21011352539062,
3,263,,133.13145446777344
4,269,131.6627197265625,
4,279,127.20867919921875,
4,289,128.12118530273438,
4,299,129.86685180664062,
4,309,127.8243408203125,
4,319,127.65460205078125,
4,329,132.43190002441406,
4,329,,130.6439971923828
5,339,128.78408813476562,
5,349,125.87361907958984,
5,359,122.25762176513672,
5,369,124.83395385742188,
5,379,122.53190612792969,
5,389,123.1092758178711,
5,395,,128.40843200683594
6,399,125.74998474121094,
6,409,127.16947174072266,
6,419,123.78567504882812,
6,429,124.46823120117188,
6,439,123.67706298828125,
6,449,125.74037170410156,
6,459,125.452392578125,
6,461,,126.42920684814453
7,469,125.4803466796875,
7,479,122.74925994873047,
7,489,122.10330963134766,
7,499,119.57691192626953,
7,509,121.9892349243164,
7,519,121.93524169921875,
7,527,,124.8940200805664
8,529,120.27658081054688,
8,539,123.13709259033203,
8,549,123.94469451904297,
8,559,123.09077453613281,
8,569,119.7975082397461,
8,579,122.17784118652344,
8,589,125.22003936767578,
8,593,,123.71078491210938
9,599,121.74818420410156,
9,609,117.50031280517578,
9,619,116.5751724243164,
9,629,118.28861236572266,
9,639,117.66213989257812,
9,649,123.21143341064453,
9,659,120.06696319580078,
9,659,,122.61324310302734
10,669,119.71179962158203,
10,679,119.72994995117188,
10,689,115.99359893798828,
10,699,113.71354675292969,
10,709,119.84443664550781,
10,719,119.1895751953125,
10,725,,121.91131591796875
11,729,115.53575134277344,
11,739,117.67110443115234,
11,749,115.68382263183594,
11,759,116.16160583496094,
11,769,119.01766204833984,
11,779,122.9393081665039,
11,789,116.93650817871094,
11,791,,121.3022232055664
12,799,118.61872100830078,
12,809,116.36595153808594,
12,819,118.14482879638672,
12,829,117.7730941772461,
12,839,120.90833282470703,
12,849,116.82164001464844,
12,857,,120.7388916015625
13,859,117.50180053710938,
13,869,115.463134765625,
13,879,116.35223388671875,
13,889,117.94679260253906,
13,899,116.01753997802734,
13,909,115.55598449707031,
13,919,115.74420166015625,
13,923,,120.69593811035156
14,929,115.79606628417969,
14,939,118.94666290283203,
14,949,113.00117492675781,
14,959,117.59183502197266,
14,969,116.15465545654297,
14,979,113.02944946289062,
14,989,115.80987548828125,
14,989,,120.03231811523438
15,999,117.39204406738281,
15,1009,115.03892517089844,
15,1019,114.71257781982422,
15,1029,117.73589324951172,
15,1039,118.06694793701172,
15,1049,116.56575012207031,
15,1055,,120.31024932861328
16,1059,111.28295135498047,
16,1069,117.06585693359375,
16,1079,114.93629455566406,
16,1089,113.54176330566406,
16,1099,115.90868377685547,
16,1109,114.23741149902344,
16,1119,115.6397705078125,
16,1121,,119.90868377685547
17,1129,117.12416076660156,
17,1139,111.59361267089844,
17,1149,113.14442443847656,
17,1159,115.91458129882812,
17,1169,121.0655517578125,
17,1179,116.5186996459961,
17,1187,,119.84950256347656
18,1189,112.84719848632812,
18,1199,109.61769104003906,
18,1209,112.56965637207031,
18,1219,112.06531524658203,
18,1229,110.8528060913086,
18,1239,115.31394958496094,
18,1249,115.71137237548828,
18,1253,,119.51829528808594
19,1259,112.4548110961914,
19,1269,114.44415283203125,
19,1279,116.68377685546875,
19,1289,115.28682708740234,
