epoch,step,train_loss,val_loss
19,1299,114.83126831054688,
19,1309,116.9713134765625,
19,1319,112.42037963867188,
19,1319,,119.66299438476562
20,1329,115.03150177001953,
20,1339,113.26910400390625,
20,1349,115.65312957763672,
20,1359,116.43720245361328,
20,1369,114.26647186279297,
20,1379,113.45631408691406,
20,1385,,119.00508117675781
21,1389,112.3015365600586,
21,1399,111.5501480102539,
21,1409,114.99579620361328,
21,1419,107.31014251708984,
21,1429,118.92542266845703,
21,1439,114.67058563232422,
21,1449,115.53168487548828,
21,1451,,118.88634490966797
22,1459,114.89994049072266,
22,1469,114.32502746582031,
22,1479,113.72820281982422,
22,1489,113.02619934082031,
22,1499,113.10397338867188,
22,1509,114.7218017578125,
22,1517,,119.0986557006836
23,1519,110.07946014404297,
23,1529,112.38631439208984,
23,1539,112.86764526367188,
23,1549,114.62390899658203,
23,1559,111.92369079589844,
23,1569,121.23239135742188,
23,1579,112.60663604736328,
23,1583,,118.93489837646484
24,1589,111.6075210571289,
24,1599,114.56604766845703,
24,1609,109.99993133544922,
24,1619,113.582763671875,
24,1629,110.4630126953125,
24,1639,112.23973083496094,
24,1649,114.938232421875,
24,1649,,119.05054473876953
25,1659,109.41686248779297,
25,1669,117.09773254394531,
25,1679,114.94656372070312,
25,1689,115.42862701416016,
25,1699,114.37506103515625,
25,1709,113.59040832519531,
25,1715,,119.2099838256836
26,1719,114.69978332519531,
26,1729,114.20957946777344,
26,1739,112.62632751464844,
26,1749,114.28990936279297,
26,1759,113.40548706054688,
26,1769,112.8271255493164,
26,1779,114.02008056640625,
26,1781,,118.61045837402344
27,1789,111.98313903808594,
27,1799,113.54096984863281,
27,1809,110.75137329101562,
27,1819,115.18315887451172,
27,1829,113.35935974121094,
27,1839,114.87287139892578,
27,1847,,119.00375366210938
28,1849,111.59227752685547,
28,1859,112.65753173828125,
28,1869,113.92506408691406,
28,1879,110.31745910644531,
28,1889,113.5835952758789,
28,1899,113.75688934326172,
28,1909,113.10997009277344,
28,1913,,118.8275375366211
29,1919,111.79269409179688,
29,1929,113.79236602783203,
29,1939,109.01176452636719,
29,1949,113.1526107788086,
29,1959,111.00067138671875,
29,1969,116.83251190185547,
29,1979,117.45176696777344,
29,1979,,118.98319244384766
30,1989,111.12554931640625,
30,1999,116.5609359741211,
30,2009,113.68988800048828,
30,2019,113.30867004394531,
30,2029,112.564453125,
30,2039,112.69818878173828,
30,2045,,118.87507629394531
31,2049,113.05412292480469,
31,2059,114.70154571533203,
31,2069,116.81698608398438,
31,2079,109.35723114013672,
31,2089,112.82493591308594,
31,2099,112.06246948242188,
31,2109,117.740966796875,
31,2111,,118.64384460449219
32,2119,114.22357940673828,
32,2129,114.20282745361328,
32,2139,111.67523193359375,
32,2149,112.44924926757812,
32,2159,112.3403091430664,
32,2169,118.5964126586914,
32,2177,,118.9365463256836
33,2179,113.48704528808594,
33,2189,115.02953338623047,
33,2199,111.13034057617188,
33,2209,113.84965515136719,
33,2219,114.62264251708984,
33,2229,107.3004379272461,
33,2239,113.93258666992188,
33,2243,,118.69916534423828
34,2249,112.13536834716797,
34,2259,111.66222381591797,
34,2269,116.67870330810547,
34,2279,116.4195556640625,
34,2289,112.43524932861328,
34,2299,109.29354858398438,
34,2309,110.73224639892578,
34,2309,,118.73929595947266
35,2319,113.4383773803711,
35,2329,109.22058868408203,
35,2339,115.99308013916016,
35,2349,114.96504974365234,
35,2359,117.72956085205078,
35,2369,111.11326599121094,
35,2375,,118.90662384033203
36,2379,115.32356262207031,
36,2389,114.35138702392578,
36,2399,109.7108154296875,
36,2409,117.07617950439453,
36,2419,113.78744506835938,
36,2429,112.03490447998047,
36,2439,112.31515502929688,
36,2441,,118.82929992675781
